Agilent Technologies, Inc. A ,A, 62.78 
Alcoa Corporation AA ,AA, 47.64 
AAC Holdings, Inc. AAC ,AAC, 10.43 
Altisource Asset Management Corp Com AAMC ,AAMC, 67.55 
Aaron's, Inc. AAN ,AAN, 39.91 
Advance Auto Parts Inc Advance Auto Parts Inc W/I AAP ,AAP, 128.34 
Almaden Minerals, Ltd. AAU ,AAU, 0.715 
Advantage Oil & Gas Ltd  Ordinary Shares AAV ,AAV, 3.05 
AllianceBernstein Holding L.P.  Units AB ,AB, 28.55 
ABB Ltd ABB ,ABB, 23.23 
AbbVie Inc. ABBV ,ABBV, 98.05 
AmerisourceBergen Corporation ABC ,ABC, 83.34 
Ambev S.A. American Depositary Shares (Each representing 1 Common Share) ABEV ,ABEV, 5.27 
Asbury Automotive Group Inc ABG ,ABG, 70.20 
ABM Industries Incorporated ABM ,ABM, 28.49 
Abbott Laboratories ABT ,ABT, 62.41 
Barrick Gold Corporation ABX ,ABX, 13.08 
Associated Capital Group, Inc. AC ,AC, 38.50 
Acco Brands Corporation ACCO ,ACCO, 13.00 
Aluminum Corporation of China Limited American Depositary Shares ACH ,ACH, 13.08 
AECOM ACM ,ACM, 33.15 
Accenture plc Class A Ordinary Shares (Ireland) ACN ,ACN, 158.89 
Aberdeen Income Credit Strategies Fund ACP ,ACP, 13.92 
Acme United Corporation. ACU ,ACU, 23.30 
AeroCentury Corp. ACY ,ACY, 15.45 
Archer-Daniels-Midland Company ADM ,ADM, 43.82 
Adient plc Ordinary Shares ADNT ,ADNT, 53.82 
Alliance Data Systems Corporation ADS ,ADS, 209.90 
Advanced Disposal Services, Inc. ADSW ,ADSW, 23.43 
ADT Inc. ADT ,ADT, 7.64 
Adams Diversified Equity Fund Inc. ADX ,ADX, 15.41 
Adams Resources & Energy, Inc. AE ,AE, 45.03 
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands) AEB ,AEB, 24.65 
AEGON N.V. Perp. Cap. Securities (Netherlands) AED ,AED, 25.94 
Ameren Corporation AEE ,AEE, 58.11 
Aberdeen Emerging Markets Equity Income Fund, Inc. AEF ,AEF, 8.67 
AEGON N.V. AEG ,AEG, 6.31 
AEGON N.V. Perp. Cap Secs. AEH ,AEH, 25.90 
American Equity Investment Life Holding Company AEL ,AEL, 35.87 
Agnico Eagle Mines Limited AEM ,AEM, 44.72 
American Eagle Outfitters, Inc. AEO ,AEO, 22.56 
American Electric Power Company, Inc. AEP ,AEP, 66.68 
Aercap Holdings N.V. Ordinary Shares AER ,AER, 55.11 
The AES Corporation AES ,AES, 12.79 
Aetna Inc. AET ,AET, 176.60 
Anadarko Petroleum Corporation 7.50% Tangible Equity Units AEUA ,AEUA, 33.97 
Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047 AFC ,AFC, 25.73 
American Financial Group, Inc. AFG ,AFG, 110.39 
American Financial Group, Inc. 6.25% Subordinated Debentures due 2054 AFGE ,AFGE, 25.94 
American Financial Group, Inc. 6% Subordinated Debentures due 2055 AFGH ,AFGH, 25.53 
Armstrong Flooring, Inc. AFI ,AFI, 13.10 
AFLAC Incorporated AFL ,AFL, 45.40 
AmTrust Financial Services, Inc. 7.25% Subordinated Notes due 2055 AFSS ,AFSS, 24.00 
AmTrust Financial Services, Inc. 7.50% Subordinated Notes due September 15, 2055 AFST ,AFST, 24.64 
Apollo Senior Floating Rate Fund Inc. AFT ,AFT, 16.70 
First Majestic Silver Corp. Ordinary Shares (Canada) AG ,AG, 7.13 
Advent Claymore Convertible Securities and Income Fund  of Beneficial Interest AGC ,AGC, 5.70 
AGCO Corporation AGCO ,AGCO, 64.34 
Aberdeen Global Dynamic Dividend Fund AGD ,AGD, 10.58 
Alamos Gold Inc. Class A AGI ,AGI, 5.54 
Federal Agricultural Mortgage Corporation AGM ,AGM, 93.88 
Federal Agricultural Mortgage Corporation AGM.A ,AGM.A, 86.20 
Allergan plc Ordinary Shares AGN ,AGN, 155.00 
Assured Guaranty Ltd. AGO ,AGO, 35.95 
Avangrid, Inc. AGR ,AGR, 52.26 
Adecoagro S.A. AGRO ,AGRO, 8.15 
PlayAGS, Inc. AGS ,AGS, 25.06 
Argan, Inc. AGX ,AGX, 38.70 
A.H. Belo Corporation AHC ,AHC, 4.75 
Aspen Insurance Holdings Limited Ordinary Shares AHL ,AHL, 43.50 
Arlington Asset Investment Corp Class A (new) AI ,AI, 11.55 
Arlington Asset Investment Corp 6.750% Notes due 2025 AIC ,AIC, 23.68 
Apollo Tactical Income Fund Inc. AIF ,AIF, 15.92 
American International Group, Inc. New AIG ,AIG, 53.29 
Albany International Corporation AIN ,AIN, 61.75 
Ashford Inc. AINC ,AINC, 77.64 
AAR Corp. AIR ,AIR, 45.32 
Air Industries Group AIRI ,AIRI, 1.70 
Applied Industrial Technologies, Inc. AIT ,AIT, 70.05 
Arlington Asset Investment Corp 6.625% Notes due 2023 AIW ,AIW, 24.09 
Apollo Investment Corporation 6.875% Senior Notes due 2043 AIY ,AIY, 25.2855 
Assurant, Inc. AIZ ,AIZ, 94.06 
Assurant, Inc. 6.50% Series D Mandatory Convertible Preferred Stock, $1.00 par value AIZP ,AIZP, 105.29 
Agilent Technologies, Inc. A ,A, 62.78 
Alcoa Corporation AA ,AA, 47.64 
AAC Holdings, Inc. AAC ,AAC, 10.43 
Altisource Asset Management Corp Com AAMC ,AAMC, 67.55 
Agilent Technologies, Inc. A ,A, 62.78 
Alcoa Corporation AA ,AA, 47.64 
AAC Holdings, Inc. AAC ,AAC, 10.43 
Altisource Asset Management Corp Com AAMC ,AAMC, 67.55 
Aaron's, Inc. AAN ,AAN, 39.91 
Advance Auto Parts Inc Advance Auto Parts Inc W/I AAP ,AAP, 128.34 
Almaden Minerals, Ltd. AAU ,AAU, 0.715 
Advantage Oil & Gas Ltd  Ordinary Shares AAV ,AAV, 3.05 
AllianceBernstein Holding L.P.  Units AB ,AB, 28.55 
ABB Ltd ABB ,ABB, 23.23 
AbbVie Inc. ABBV ,ABBV, 98.05 
AmerisourceBergen Corporation ABC ,ABC, 83.34 
Ambev S.A. American Depositary Shares (Each representing 1 Common Share) ABEV ,ABEV, 5.27 
Asbury Automotive Group Inc ABG ,ABG, 70.20 
ABM Industries Incorporated ABM ,ABM, 28.49 
Abbott Laboratories ABT ,ABT, 62.41 
Barrick Gold Corporation ABX ,ABX, 13.08 
Associated Capital Group, Inc. AC ,AC, 38.50 
Acco Brands Corporation ACCO ,ACCO, 13.00 
Aluminum Corporation of China Limited American Depositary Shares ACH ,ACH, 13.08 
AECOM ACM ,ACM, 33.15 
Accenture plc Class A Ordinary Shares (Ireland) ACN ,ACN, 158.89 
Aberdeen Income Credit Strategies Fund ACP ,ACP, 13.92 
Acme United Corporation. ACU ,ACU, 23.30 
AeroCentury Corp. ACY ,ACY, 15.45 
Archer-Daniels-Midland Company ADM ,ADM, 43.82 
Adient plc Ordinary Shares ADNT ,ADNT, 53.82 
Alliance Data Systems Corporation ADS ,ADS, 209.90 
Advanced Disposal Services, Inc. ADSW ,ADSW, 23.43 
ADT Inc. ADT ,ADT, 7.64 
Adams Diversified Equity Fund Inc. ADX ,ADX, 15.41 
Adams Resources & Energy, Inc. AE ,AE, 45.03 
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands) AEB ,AEB, 24.65 
AEGON N.V. Perp. Cap. Securities (Netherlands) AED ,AED, 25.94 
Ameren Corporation AEE ,AEE, 58.11 
Aberdeen Emerging Markets Equity Income Fund, Inc. AEF ,AEF, 8.67 
AEGON N.V. AEG ,AEG, 6.31 
AEGON N.V. Perp. Cap Secs. AEH ,AEH, 25.90 
American Equity Investment Life Holding Company AEL ,AEL, 35.87 
Agnico Eagle Mines Limited AEM ,AEM, 44.72 
American Eagle Outfitters, Inc. AEO ,AEO, 22.56 
American Electric Power Company, Inc. AEP ,AEP, 66.68 
Aercap Holdings N.V. Ordinary Shares AER ,AER, 55.11 
The AES Corporation AES ,AES, 12.79 
Aetna Inc. AET ,AET, 176.60 
Anadarko Petroleum Corporation 7.50% Tangible Equity Units AEUA ,AEUA, 33.97 
Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047 AFC ,AFC, 25.73 
American Financial Group, Inc. AFG ,AFG, 110.39 
American Financial Group, Inc. 6.25% Subordinated Debentures due 2054 AFGE ,AFGE, 25.94 
American Financial Group, Inc. 6% Subordinated Debentures due 2055 AFGH ,AFGH, 25.53 
Armstrong Flooring, Inc. AFI ,AFI, 13.10 
AFLAC Incorporated AFL ,AFL, 45.40 
AmTrust Financial Services, Inc. 7.25% Subordinated Notes due 2055 AFSS ,AFSS, 24.00 
AmTrust Financial Services, Inc. 7.50% Subordinated Notes due September 15, 2055 AFST ,AFST, 24.64 
Apollo Senior Floating Rate Fund Inc. AFT ,AFT, 16.70 
First Majestic Silver Corp. Ordinary Shares (Canada) AG ,AG, 7.13 
Advent Claymore Convertible Securities and Income Fund  of Beneficial Interest AGC ,AGC, 5.70 
AGCO Corporation AGCO ,AGCO, 64.34 
Aberdeen Global Dynamic Dividend Fund AGD ,AGD, 10.58 
Alamos Gold Inc. Class A AGI ,AGI, 5.54 
Federal Agricultural Mortgage Corporation AGM ,AGM, 93.88 
Federal Agricultural Mortgage Corporation AGM.A ,AGM.A, 86.20 
Allergan plc Ordinary Shares AGN ,AGN, 155.00 
Assured Guaranty Ltd. AGO ,AGO, 35.95 
Avangrid, Inc. AGR ,AGR, 52.26 
Adecoagro S.A. AGRO ,AGRO, 8.15 
PlayAGS, Inc. AGS ,AGS, 25.06 
Argan, Inc. AGX ,AGX, 38.70 
A.H. Belo Corporation AHC ,AHC, 4.75 
Aspen Insurance Holdings Limited Ordinary Shares AHL ,AHL, 43.50 
Arlington Asset Investment Corp Class A (new) AI ,AI, 11.55 
Arlington Asset Investment Corp 6.750% Notes due 2025 AIC ,AIC, 23.68 
Apollo Tactical Income Fund Inc. AIF ,AIF, 15.92 
American International Group, Inc. New AIG ,AIG, 53.29 
Albany International Corporation AIN ,AIN, 61.75 
Ashford Inc. AINC ,AINC, 77.64 
AAR Corp. AIR ,AIR, 45.32 
Air Industries Group AIRI ,AIRI, 1.70 
Applied Industrial Technologies, Inc. AIT ,AIT, 70.05 
Arlington Asset Investment Corp 6.625% Notes due 2023 AIW ,AIW, 24.09 
Apollo Investment Corporation 6.875% Senior Notes due 2043 AIY ,AIY, 25.2855 
Assurant, Inc. AIZ ,AIZ, 94.06 
Assurant, Inc. 6.50% Series D Mandatory Convertible Preferred Stock, $1.00 par value AIZP ,AIZP, 105.29 
Agilent Technologies, Inc. A , A,  62.78 
Alcoa Corporation AA , AA,  47.64 
AAC Holdings, Inc. AAC , AAC,  10.43 
Altisource Asset Management Corp Com AAMC , AAMC,  67.55 
Aaron's, Inc. AAN , AAN,  39.91 
Advance Auto Parts Inc Advance Auto Parts Inc W/I AAP , AAP,  128.34 
Almaden Minerals, Ltd. AAU , AAU,  0.715 
Advantage Oil & Gas Ltd  Ordinary Shares AAV , AAV,  3.05 
AllianceBernstein Holding L.P.  Units AB , AB,  28.55 
ABB Ltd ABB , ABB,  23.23 
AbbVie Inc. ABBV , ABBV,  98.05 
AmerisourceBergen Corporation ABC , ABC,  83.34 
Ambev S.A. American Depositary Shares (Each representing 1 Common Share) ABEV , ABEV,  5.27 
Asbury Automotive Group Inc ABG , ABG,  70.20 
ABM Industries Incorporated ABM , ABM,  28.49 
Abbott Laboratories ABT , ABT,  62.41 
Barrick Gold Corporation ABX , ABX,  13.08 
Associated Capital Group, Inc. AC , AC,  38.50 
Acco Brands Corporation ACCO , ACCO,  13.00 
Aluminum Corporation of China Limited American Depositary Shares ACH , ACH,  13.08 
AECOM ACM , ACM,  33.15 
Accenture plc Class A Ordinary Shares (Ireland) ACN , ACN,  158.89 
Aberdeen Income Credit Strategies Fund ACP , ACP,  13.92 
Acme United Corporation. ACU , ACU,  23.30 
AeroCentury Corp. ACY , ACY,  15.45 
Archer-Daniels-Midland Company ADM , ADM,  43.82 
Adient plc Ordinary Shares ADNT , ADNT,  53.82 
Alliance Data Systems Corporation ADS , ADS,  209.90 
Advanced Disposal Services, Inc. ADSW , ADSW,  23.43 
ADT Inc. ADT , ADT,  7.64 
Adams Diversified Equity Fund Inc. ADX , ADX,  15.41 
Adams Resources & Energy, Inc. AE , AE,  45.03 
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands) AEB , AEB,  24.65 
AEGON N.V. Perp. Cap. Securities (Netherlands) AED , AED,  25.94 
Ameren Corporation AEE , AEE,  58.11 
Aberdeen Emerging Markets Equity Income Fund, Inc. AEF , AEF,  8.67 
AEGON N.V. AEG , AEG,  6.31 
AEGON N.V. Perp. Cap Secs. AEH , AEH,  25.90 
American Equity Investment Life Holding Company AEL , AEL,  35.87 
Agnico Eagle Mines Limited AEM , AEM,  44.72 
American Eagle Outfitters, Inc. AEO , AEO,  22.56 
American Electric Power Company, Inc. AEP , AEP,  66.68 
Aercap Holdings N.V. Ordinary Shares AER , AER,  55.11 
The AES Corporation AES , AES,  12.79 
Aetna Inc. AET , AET,  176.60 
Anadarko Petroleum Corporation 7.50% Tangible Equity Units AEUA , AEUA,  33.97 
Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047 AFC , AFC,  25.73 
American Financial Group, Inc. AFG , AFG,  110.39 
American Financial Group, Inc. 6.25% Subordinated Debentures due 2054 AFGE , AFGE,  25.94 
American Financial Group, Inc. 6% Subordinated Debentures due 2055 AFGH , AFGH,  25.53 
Armstrong Flooring, Inc. AFI , AFI,  13.10 
AFLAC Incorporated AFL , AFL,  45.40 
AmTrust Financial Services, Inc. 7.25% Subordinated Notes due 2055 AFSS , AFSS,  24.00 
AmTrust Financial Services, Inc. 7.50% Subordinated Notes due September 15, 2055 AFST , AFST,  24.64 
Apollo Senior Floating Rate Fund Inc. AFT , AFT,  16.70 
First Majestic Silver Corp. Ordinary Shares (Canada) AG , AG,  7.13 
Advent Claymore Convertible Securities and Income Fund  of Beneficial Interest AGC , AGC,  5.70 
AGCO Corporation AGCO , AGCO,  64.34 
Aberdeen Global Dynamic Dividend Fund AGD , AGD,  10.58 
Alamos Gold Inc. Class A AGI , AGI,  5.54 
Federal Agricultural Mortgage Corporation AGM , AGM,  93.88 
Federal Agricultural Mortgage Corporation AGM.A , AGM.A,  86.20 
Allergan plc Ordinary Shares AGN , AGN,  155.00 
Assured Guaranty Ltd. AGO , AGO,  35.95 
Avangrid, Inc. AGR , AGR,  52.26 
Adecoagro S.A. AGRO , AGRO,  8.15 
PlayAGS, Inc. AGS , AGS,  25.06 
Argan, Inc. AGX , AGX,  38.70 
A.H. Belo Corporation AHC , AHC,  4.75 
Aspen Insurance Holdings Limited Ordinary Shares AHL , AHL,  43.50 
Arlington Asset Investment Corp Class A (new) AI , AI,  11.55 
Arlington Asset Investment Corp 6.750% Notes due 2025 AIC , AIC,  23.68 
Apollo Tactical Income Fund Inc. AIF , AIF,  15.92 
American International Group, Inc. New AIG , AIG,  53.29 
Albany International Corporation AIN , AIN,  61.75 
Ashford Inc. AINC , AINC,  77.64 
AAR Corp. AIR , AIR,  45.32 
Air Industries Group AIRI , AIRI,  1.70 
Applied Industrial Technologies, Inc. AIT , AIT,  70.05 
Arlington Asset Investment Corp 6.625% Notes due 2023 AIW , AIW,  24.09 
Apollo Investment Corporation 6.875% Senior Notes due 2043 AIY , AIY,  25.2855 
Assurant, Inc. AIZ , AIZ,  94.06 
Assurant, Inc. 6.50% Series D Mandatory Convertible Preferred Stock, $1.00 par value AIZP , AIZP,  105.29 
Agilent Technologies, Inc. A , A,  62.78 
Alcoa Corporation AA , AA,  47.64 
Agilent Technologies, Inc. A , A,  62.78 
Alcoa Corporation AA , AA,  47.64 
AAC Holdings, Inc. AAC , AAC,  10.43 
Altisource Asset Management Corp Com AAMC , AAMC,  67.55 
Aaron's, Inc. AAN , AAN,  39.91 
Advance Auto Parts Inc Advance Auto Parts Inc W/I AAP , AAP,  128.34 
Almaden Minerals, Ltd. AAU , AAU,  0.715 
Advantage Oil & Gas Ltd  Ordinary Shares AAV , AAV,  3.05 
AllianceBernstein Holding L.P.  Units AB , AB,  28.55 
ABB Ltd ABB , ABB,  23.23 
AbbVie Inc. ABBV , ABBV,  98.05 
AmerisourceBergen Corporation ABC , ABC,  83.34 
Ambev S.A. American Depositary Shares (Each representing 1 Common Share) ABEV , ABEV,  5.27 
